describe,evaluate,introduce,movie_name,serial_number,star
希望让人自由。,2155079人评价,1994/美国/犯罪剧情,肖申克的救赎,1,9.7
风华绝代。,1596477人评价,1993/中国大陆中国香港/剧情爱情同性,霸王别姬,2,9.6
一部美国近现代史。,1627174人评价,1994/美国/剧情爱情,阿甘正传,3,9.5
怪蜀黍和小萝莉不得不说的故事。,1812929人评价,1994/法国美国/剧情动作犯罪,这个杀手不太冷,4,9.4
失去的才是永恒的。 ,1580942人评价,1997/美国/剧情爱情灾难,泰坦尼克号,5,9.4
最美的谎言。,1011385人评价,1997/意大利/剧情喜剧爱情战争,美丽人生,6,9.5
最好的宫崎骏，最好的久石让。 ,1694367人评价,2001/日本/剧情动画奇幻,千与千寻,7,9.4
拯救一个人，就是拯救整个世界。,828841人评价,1993/美国/剧情历史战争,辛德勒的名单,8,9.5
诺兰给了我们一场无法盗取的梦。,1582126人评价,2010/美国英国/剧情科幻悬疑冒险,盗梦空间,9,9.3
永远都不能忘记你所爱的人。,1079773人评价,2009/美国英国/剧情,忠犬八公的故事,10,9.4
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1290237人评价,1998/意大利/剧情音乐,海上钢琴师,11,9.3
爱是一种力量，让我们超越时空感知它的存在。,1254146人评价,2014/美国英国加拿大冰岛/剧情科幻冒险,星际穿越,12,9.3
如果再也不能见到你，祝你早安，午安，晚安。,1169718人评价,1998/美国/剧情科幻,楚门的世界,13,9.3
英俊版憨豆，高情商版谢耳朵。,1439535人评价,2009/印度/剧情喜剧爱情歌舞,三傻大闹宝莱坞,14,9.2
小瓦力，大人生。,1016755人评价,2008/美国/科幻动画冒险,机器人总动员,15,9.3
天籁一般的童声，是最接近上帝的存在。 ,1000662人评价,2004/法国瑞士德国/剧情音乐,放牛班的春天,16,9.3
一生所爱。,1148477人评价,1995/中国香港中国大陆/喜剧爱情奇幻古装,大话西游之大圣娶亲,17,9.2
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,704294人评价,2011/韩国/剧情,熔炉,18,9.3
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,1382017人评价,2016/美国/喜剧动画冒险,疯狂动物城,19,9.2
香港电影史上永不过时的杰作。,937380人评价,2002/中国香港/剧情犯罪悬疑,无间道,20,9.2
千万不要记恨你的对手，这样会让你失去理智。,703858人评价,1972/美国/剧情犯罪,教父,21,9.3
人人心中都有个龙猫，童年就永远不会消失。,962880人评价,1988/日本/动画奇幻冒险,龙猫,22,9.2
